title,summary,also_called,group,primary_institute
Artritis infecciosa,"La mayoría de los tipos de artritis causan dolor e hinchazón en las articulaciones. Una articulación es donde se unen dos huesos, como el codo o la rodilla. La artritis infecciosa es una infección en la articulación. La infección proviene de una infección bacteriana, viral o por hongos que se disemina desde otra parte del cuerpo. Los síntomas de la artritis infecciosa incluyen: Dolor intenso en la articulación Enrojecimiento e hinchazón de la articulación Escalofríos y fiebre Imposibilidad de mover el área de la articulación infectada Un tipo de artritis infecciosa es la artritis reactiva. La reacción es a una infección en otra parte del cuerpo. Las articulaciones afectadas son generalmente la rodilla, el tobillo o el pie. A veces, la infección que causa la artritis reactiva ocurre en la vejiga, la uretra (el tubo que conduce la orina) o en mujeres la vagina. En hombres y mujeres puede comenzar por una bacteria transmitida sexualmente. Otra forma de artritis reactiva comienza al consumir alimentos contaminados o al manejar algo infectado con bacterias. Para diagnosticar la artritis infecciosa, su médico puede hacerle pruebas de sangre, orina y líquido de la articulación. El tratamiento incluye medicamentos y, a veces, cirugía.",Artritis séptica,"Huesos, articulaciones y músculos, Infecciones",Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y de la Piel
Artritis juvenil,"¿Qué es la artritis juvenil? La artritis juvenil es una artritis que se presenta en niños. Causa inflamación de las articulaciones, dolor, rigidez y pérdida de movimiento. Las articulaciones son donde se unen dos huesos, como el codo o la rodilla. Puede afectar cualquier articulación, pero es más común en las rodillas, las manos y los pies. La artritis juvenil puede afectar el crecimiento y el desarrollo de su hijo y, en algunos casos, también puede afectar otros órganos. Detectarla y empezar el tratamiento de manera temprana puede ayudar a controlar los síntomas y reducir el daño articular. ¿Quién tiene más probabilidades de tener artritis juvenil? Existen otras formas de artritis que afectan a los niños. El tipo más común de artritis juvenil en niños menores de 16 años es la artritis idiopática juvenil. Existen varios tipos de ella. Los síntomas y la cantidad de articulaciones afectadas ayudan a determinar el tipo. Algunos tipos de artritis idiopática juvenil son más comunes en las niñas. ¿Qué causa la artritis juvenil? No se conoce la causa exacta de la artritis juvenil. La mayoría de los tipos son trastornos autoinmunes . Esto significa que el sistema inmunitario, que normalmente ayuda al cuerpo a combatir las infecciones, ataca los tejidos del cuerpo. ¿Cuáles son los síntomas de la artritis juvenil? Los síntomas pueden variar según el tipo de artritis juvenil. Los síntomas de la mayoría de los tipos incluyen dolor, inflamación, calor y rigidez en las articulaciones. Es posible que su hijo no se queje de dolor o rigidez, pero una señal temprana de artritis juvenil puede ser cojear o leve torpeza por la mañana o después de descansar. Las articulaciones más grandes, como la rodilla, pueden estar hinchadas. Ciertos tipos de artritis juvenil pueden causar fiebre alta, ganglios linfáticos inflamados, sarpullido, problemas de crecimiento o inflamación del ojo en algunos niños. Los síntomas pueden aparecer y desaparecer. Algunos niños solo tienen uno o dos brotes. Otros tienen síntomas que nunca desaparecen. ¿Cómo se diagnostica la artritis juvenil? No existe una prueba única para la artritis juvenil, por lo que puede ser difícil de diagnosticar. Su profesional de la salud puede: Preguntar sobre la historia clínica y los síntomas Hacer un examen físico Solicitar análisis de sangre o pruebas de diagnóstico por imágenes ¿Cuáles son los tratamientos para la artritis juvenil? La artritis juvenil se suele tratar por un equipo de profesionales. El tratamiento depende de la edad de su hijo, el tipo de artritis juvenil y su gravedad. El tratamiento puede incluir medicamentos y fisioterapia para ayudar a mantener el movimiento y bajar la inflamación y el dolor. NIH: Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y de la Piel","Artritis idiopática juvenil, Artritis inflamatoria crónica en los niños, Artritis reumatoide juvenil","Niños y adolescentes, Huesos, articulaciones y músculos, Sistema inmunitario",Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y de la Piel
Artritis psoriásica,"La psoriasis es una enfermedad de la piel que causa picazón o parches dolorosos de piel que se ha engrosado y enrojecido con escamas plateadas. Suele aparecer en los hombros, las rodillas, el cuero cabelludo, la espalda, la cara, las palmas de las manos y las plantas de los pies, pero también puede presentarse en otras partes del cuerpo. Algunas personas con esta afección desarrollan artritis psoriásica. Esto genera dolor, rigidez e hinchazón en las articulaciones. Generalmente es leve pero a veces puede ser grave y afectar varias articulaciones a la vez. Estos problemas y los de la piel quizás no sucedan al mismo tiempo. Su doctor hará un examen físico y de imágenes para diagnosticar la enfermedad. No existe una cura, pero los medicamentos pueden ayudar a controlar la inflamación y el dolor. En raras ocasiones, se puede necesitar cirugía para reparar o reemplazar las articulaciones dañadas.",,"Huesos, articulaciones y músculos",Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y de la Piel
Artritis reumatoide,"¿Qué es la artritis reumatoide? La artritis reumatoide (AR) es una forma de artritis que causa dolor, inflamación y rigidez en las articulaciones. La artritis reumatoide es una enfermedad autoinmune . Aunque es más común en la muñeca y los dedos, esta enfermedad puede hacer que el sistema inmunitario ataque cualquier tejido articular. La inflamación (hinchazón) que acompaña a la artritis reumatoide también puede afectar otras partes del cuerpo. La inflamación puede causar problemas médicos en los ojos, la piel, el corazón, los nervios, la sangre o los pulmones. La artritis reumatoide es diferente de la osteoartritis , una artritis común que suele aparecer con la edad. Esta enfermedad afecta el revestimiento de las articulaciones y daña el tejido que cubre los extremos de los huesos de una articulación. Con el tiempo, esto puede provocar que las articulaciones no funcionen como deberían. No existe cura para la artritis reumatoide, pero el tratamiento temprano puede ayudarle a controlar los síntomas, reducir el daño articular y llevar una vida productiva. ¿Quién tiene más probabilidades de tener artritis reumatoide? La artritis reumatoide puede aparecer a cualquier edad, pero el riesgo aumenta a medida que envejece . Su probabilidad de desarrollar artritis reumatoide también puede aumentar si: Es mujer: Las mujeres tienen más probabilidades de desarrollar artritis reumatoide que los hombres Tiene antecedentes familiares: Si un miembro de su familia tiene la afección, tiene más probabilidades de desarrollarla Fuma : Fumar durante un período prolongado aumenta el riesgo de desarrollar artritis reumatoide y su gravedad Tiene otras afecciones médicas que pueden aumentar el riesgo de tener artritis reumatoide: Estas incluyen obesidad , enfermedad de las encías y enfermedad pulmonar ¿Qué causa la artritis reumatoide? No se conoce la causa de la artritis reumatoide. Algunos factores que pueden influir en su aparición incluyen: Sus genes : Partes del ADN en sus células que se transmiten de sus padres. Ciertos genes pueden aumentar su riesgo de tener artritis reumatoide, pero no todas las personas con estos genes desarrollan la afección El ambiente : Incluyendo elementos como el humo del cigarrillo, que en ocasiones desencadena los síntomas de la artritis reumatoide Las hormonas : Mensajeros químicos en el torrente sanguíneo que controlan la actividad de ciertas células u órganos. Los investigadores piensan que las hormonas sexuales pueden desempeñar un papel en la aparición de la enfermedad. Las mujeres tienen más probabilidades de desarrollar artritis reumatoide y sus síntomas pueden cambiar durante y después del embarazo ¿Cuáles son los síntomas de la artritis reumatoide? Su sistema inmunitario puede comenzar a atacar las articulaciones y los tejidos de su cuerpo años antes de que note cualquier síntoma de artritis reumatoide. En general, los cambios de este tipo de disfunción inmunitaria se asientan en las articulaciones. La artritis reumatoide afecta a las personas de manera diferente. Puede tener la enfermedad solo por un corto tiempo o sus síntomas pueden aparecer y desaparecer. La forma grave puede ser crónica (de larga duración) y durar toda la vida. Los síntomas de la artritis reumatoide pueden incluir: Dolor o rigidez en las articulaciones al moverse. Esto suele empeorar por la mañana o después de la inactividad. En general, la artritis reumatoide afecta ambas articulaciones. Si una de sus manos o rodillas está afectada, también lo está la otra Sensibilidad, enrojecimiento y calor en las articulaciones La inflamación de las articulaciones puede dificultar las actividades diarias. Esto puede incluir cosas como peinarse, abotonarse la ropa o doblar las rodillas Fatiga , fiebre y pérdida del apetito Bultos duros (nódulos reumatoides) debajo de la piel cerca de las articulaciones ¿Cómo se diagnostica la artritis reumatoide? No existe una única prueba para la artritis reumatoide. La enfermedad se desarrolla con el tiempo. Al principio, es posible que solo tenga algunos síntomas, lo que dificulta su diagnóstico en las primeras etapas. Para saber si tiene artritis reumatoide, su profesional de la salud puede: Preguntar sobre su historia clínica , incluyendo sus síntomas Preguntar sobre los antecedentes médicos de su familia , incluyendo parientes que hayan tenido la afección Hacer un examen físico , incluyendo examinar sus articulaciones, buscar sarpullido o nódulos y escuchar su pecho para detectar signos de inflamación en los pulmones Solicitar análisis de sangre o pruebas de diagnóstico por imágenes (radiografías o ecografías) para asegurarse de que otras afecciones de salud no estén causando sus síntomas, ya que pueden ser similares a otros tipos de artritis y afecciones articulares Su profesional de la salud puede referirlo a un reumatólogo (un especialista en el cuidado de la artritis) para realizarle pruebas, diagnóstico y atención. ¿Cuáles son los tratamientos para la artritis reumatoide? No existe cura para la artritis reumatoide, pero el tratamiento temprano puede ayudar a prevenir que los síntomas empeoren y dañen las articulaciones. El tratamiento puede incluir medicamentos, cambios en el estilo de vida y cirugía. Estos pueden retrasar o detener el daño articular y reducir el dolor y la inflamación. Su proveedor puede utilizar una combinación de tratamientos. Su tratamiento puede cambiar según sus síntomas. Puede ayudar a controlar los síntomas de la artritis reumatoide al: Hacer actividad física Mantener un peso saludable Evitar las lesiones en las articulaciones Evitar las actividades que implican movimientos repetitivos, como doblar la rodilla una y otra vez Dejar de fumar o no empezar a fumar NIH: Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y de la Piel","AR, Artritis reumatoidea, Reuma","Huesos, articulaciones y músculos, Sistema inmunitario",Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y de la Piel
Asbesto,"Asbesto es el nombre de un grupo de minerales con fibras largas y delgadas. Antes, se lo utilizaba mucho en los aislamientos térmicos. También está presenté en el medio ambiente. Las fibras de asbesto son tan pequeñas que no es posible verlas. Si las fibras se sacuden, flotan en el aire. Así, son más fáciles de inhalar y pueden quedar atrapadas en los pulmones. Si una persona inhala altos niveles de asbestos, con el tiempo pueden acumularse en los pulmones y causar cicatrices e inflamación. Esto afecta la respiración. Tarde o temprano puede causar enfermedades como: Asbestosis, o excoriaciones en los pulmones, que a su vez dificultan la respiración Mesotelioma , un cáncer raro que afecta las membranas que recubren los pulmones o el abdomen Cáncer de pulmón Las enfermedades de los pulmones relacionadas con el asbesto suelen desarrollarse durante muchos años. En general, las personas que se enferman a causa del asbesto es porque han estado expuestas al asbesto en sus trabajos por mucho tiempo. Fumar cigarrillos aumenta el riesgo. Agencia para Sustancias Tóxicas y el Registro de Enfermedades",Amianto,"Pulmón y vías respiratorias, Envenenamientos, toxicología y salud ambiental",Instituto Nacional del Cáncer
Asbestos,"Asbestos is the name of a group of minerals with long, thin fibers. It was once used widely as insulation. It also occurs in the environment. Asbestos fibers are so small you can't see them. If you disturb asbestos, the fibers can float in the air. This makes them easy to inhale, and some may become lodged in the lungs. If you breathe in high levels of asbestos over a long period of time, the fibers can build up in the lungs. This causes scarring and inflammation, and can affect breathing. Eventually it can lead to diseases such as: Asbestosis, or scarring of the lungs that makes it hard to breathe Mesothelioma , a rare cancer that affects the lining of the lungs or abdomen Lung cancer Lung diseases associated with asbestos usually develop over many years. People who become ill from asbestos are usually exposed on the job over long periods of time. Smoking cigarettes increases the risk. Agency for Toxic Substances and Disease Registry",,"Lungs and Breathing, Poisoning, Toxicology, Environmental Health",National Cancer Institute
Asesoramiento genético,"El asesoramiento genético ofrece información y apoyo a las personas que tienen o pueden tener riesgos de trastornos genéticos . Un genetista se reunirá con usted para hablar de los riesgos genéticos. La consulta puede ser sobre usted o un familiar, o puede acceder a esta información cuando piense o planee tener un bebé. Puede obtener más información con pruebas genéticas . Existen muchas razones para buscar asesoramiento genético. Puede pensar en hacerlo si: Tiene historial familiar de una afección genética o defecto congénito Está embarazada o planea estarlo después de los 35 años Ya tiene un hijo con un trastorno o defecto congénito Tuvo dos o más pérdidas de embarazos o un bebé que falleció Se realizó un ultrasonido o pruebas que sugieren la posibilidad de un problema",Consulta sobre genética,"Embarazo y reproducción, Genética y defectos congénitos",Instituto Nacional de Investigación del Genoma Humano
Asistencia económica,"El cuidado de la salud puede ser costoso. Los seguros médicos suelen cubrir por lo menos parte de los gastos médicos. Si no tiene un seguro médico o necesita ayuda con los gastos que no están cubiertos, podría contar con ayuda económica. Algunos programas del gobierno y organizaciones sin fines de lucro pueden ayudar. También puede hablar acerca de sus dudas sobre el pago de las facturas médicas con el profesional de la salud, un trabajador social o la oficina administrativa del hospital o la clínica.",Asistencia financiera,"Asuntos sociales y familiares, Sistemas de salud",
Asma,"¿Qué es el asma? El asma es una enfermedad pulmonar crónica (de largo plazo). Afecta las vías respiratorias, los conductos que llevan el aire hacia y desde los pulmones. Cuando tiene asma, sus vías respiratorias pueden inflamarse y estrecharse. Esto puede causar sibilancias, tos y opresión en el pecho. Cuando estos síntomas son peores que lo habitual, se conoce como ataque de asma o crisis asmática. ¿Qué causa el asma? No se conoce la causa exacta del asma. Es probable que la genética y el ambiente influyan en quién padece asma. Un ataque de asma puede ocurrir cuando está expuesto a un desencadenante del asma. Un desencadenante es algo que puede propiciar o empeorar los síntomas del asma. Diferentes desencadenantes pueden causar diversos tipos de asma: El asma alérgica es causada por alérgenos. Los alérgenos son sustancias que provocan una reacción alérgica. Pueden incluir: Ácaros del polvo Moho Mascotas Polen de pasto, árboles y malezas Desechos de plagas como cucarachas y ratones El asma no alérgica es causada por desencadenantes que no son alérgenos, como: Respirar aire frío Ciertos medicamentos Productos químicos domésticos Infecciones como resfriados y gripe Contaminación exterior del aire Humo de tabaco El asma ocupacional es causado por respirar químicos o polvos industriales en el trabajo El asma inducida por el ejercicio ocurre durante la actividad física, especialmente cuando el aire está seco Los desencadenantes del asma pueden ser diferentes para cada persona y pueden cambiar con el tiempo. ¿Quién está en riesgo de padecer asma? El asma afecta a personas de todas las edades, pero a menudo comienza en la niñez. Ciertos factores pueden aumentar su riesgo de tener asma: Haberse expuesto al humo de segunda mano cuando su madre estuvo embarazada de usted o cuando usted era un niño pequeño Estar expuesto a ciertas sustancias en el trabajo , como irritantes químicos o polvos industriales Genética e historia familiar : Es más probable que tenga asma si uno de sus padres la tiene, especialmente su madre Raza o etnia : Los afroamericanos y los portorriqueños tienen un mayor riesgo de asma que las personas de otras razas o etnias Tener otras enfermedades o afecciones como obesidad y alergias Haber tenido varias infecciones respiratorias virales cuando niño Sexo : En niños, el asma es más común en los varones. En adolescentes y adultos, es más común en mujeres ¿Cuáles son los síntomas del asma? Los síntomas del asma incluyen: Opresión en el pecho Tos, especialmente por la noche o temprano en la mañana Problemas para respirar Sibilancia, que provoca un silbido al exhalar Estos síntomas pueden variar de leves a graves. Pueden presentarse todos los días o solo de vez en cuando. Cuando tiene un ataque de asma, sus síntomas empeoran mucho. Los ataques pueden aparecer de forma gradual o repentina. En ocasiones, pueden poner en peligro la vida. Son más comunes en personas que tienen asma grave. Si tiene ataques de asma, es posible que necesite un cambio en su tratamiento. ¿Cómo se diagnostica el asma? Su profesional de la salud puede usar muchas herramientas para diagnosticar el asma: Examen físico Historia clínica Pruebas de función pulmonar , incluyendo espirometría para evaluar qué tan bien funcionan sus pulmones Pruebas para medir cómo reaccionan sus vías respiratorias a exposiciones específicas. Durante esta prueba, se inhalan diferentes concentraciones de alérgenos o medicamentos que pueden tensar los músculos de las vías respiratorias. La espirometría se realiza antes y después de la prueba Pruebas de flujo espiratorio máximo para medir qué tan rápido puede expulsar aire con el máximo esfuerzo Prueba de fracción exhalada de óxido nítrico para medir los niveles de óxido nítrico en su aliento al exhalar. Los niveles altos de óxido nítrico pueden significar que sus pulmones están inflamados Análisis de sangre o de piel para alergias, si tiene antecedentes de alergias. Estas pruebas verifican qué alérgenos causan una reacción de su sistema inmunitario ¿Cuáles son los tratamientos para el asma? Si tiene asma, su profesional de la salud y usted crearán un plan de tratamiento. El plan incluirá formas de controlar sus síntomas y prevenir ataques, incluyendo: Estrategias para evitar desencadenantes : Por ejemplo, si el humo del tabaco es un desencadenante para usted, no debe fumar ni permitir que otras personas fumen en su casa o automóvil Medicamentos de alivio rápido , también llamados medicamentos de rescate: Ayudan a prevenir los síntomas o aliviarlos durante un ataque de asma. Incluyen un inhalador para que lo lleve consigo todo el tiempo. También puede incluir otros tipos de medicamentos que actúan rápidamente para ayudar a abrir las vías respiratorias Medicamentos de control : Estos se toman todos los días para ayudar a prevenir los síntomas. Actúan reduciendo la inflamación de las vías respiratorias y previniendo su estrechamiento Si tiene un ataque severo y los medicamentos de alivio rápido no funcionan, necesitará atención de emergencia. Su profesional de la salud puede ajustar su tratamiento hasta que se controlen los síntomas del asma. A veces, el asma es grave y no se puede controlar con otros tratamientos. Si es un adulto con asma no controlada, en algunos casos su proveedor puede sugerirle una termoplastia bronquial. Este es un procedimiento que usa calor para encoger el músculo liso de los pulmones. La contracción del músculo reduce la capacidad de las vías respiratorias para contraerse y permite respirar con más facilidad. El procedimiento tiene algunos riesgos, por lo que es importante conversarlos con su médico.",,"Pulmón y vías respiratorias, Sistema inmunitario","Instituto Nacional del Corazón, los Pulmones y la Sangre"
Asma en niños,"¿Qué es el asma? El asma es una enfermedad pulmonar crónica (de largo plazo). Afecta las vías respiratorias, los conductos que llevan el aire hacia y desde los pulmones. Cuando tiene asma, sus vías respiratorias pueden inflamarse y estrecharse. Esto puede causar sibilancias, tos y opresión en el pecho. Cuando estos síntomas son peores que lo habitual, se conoce como ataque de asma o crisis asmática. ¿Cómo afecta el asma a los niños? A menudo, el asma comienza en la niñez, en general antes de los 5 años. Muchos niños tienen asma. Es la enfermedad crónica más común de la niñez. Puede causar que falten a la escuela y deban ir al hospital. Sin embargo, los tratamientos pueden ayudar a controlar el asma. ¿Qué causa el asma en los niños? No se conoce la causa exacta del asma. Es probable que la genética y el ambiente tengan algo que ver con el asma en los niños. Un ataque de asma puede ocurrir cuando su hijo está expuesto a un desencadenante del asma, como se conoce lo que puede causar o empeorar los síntomas del asma. Diferentes desencadenantes pueden causar distintos tipos de asma: El asma alérgica es causada por alérgenos. Los alérgenos son sustancias que provocan una reacción alérgica. Pueden incluir: Ácaros del polvo Moho Mascotas Polen de pasto, árboles y malezas Desechos de plagas como cucarachas y ratones El asma no alérgica es causada por desencadenantes que no son alérgenos, como: Respirar aire frío Ciertos medicamentos Productos químicos domésticos Infecciones como resfriados y gripe Contaminación del aire exterior Humo de tabaco El asma inducida por el ejercicio ocurre durante el ejercicio físico, especialmente cuando el aire es seco Los desencadenantes del asma pueden ser diferentes para cada niño y pueden cambiar con el tiempo. ¿Qué niños tienen riesgo de padecer asma? Ciertos factores aumentan el riesgo de asma en los niños: Estar expuesto al humo de segunda mano cuando la madre está embarazada del niño o cuando son pequeños Genética e historia familiar : Los niños tienen más probabilidades de tener asma si uno de sus padres la tiene, en especial si es la madre Raza o etnia : Los afroamericanos y los puertorriqueños tienen un mayor riesgo de padecer asma que las personas de otras razas o etnias Tener otras enfermedades o afecciones como obesidad y alergias Padecer infecciones respiratorias virales frecuentes cuando eran niños pequeños Género : El asma es más común en los niños hombres. En adolescentes, es más común en las niñas ¿Cuáles son los síntomas del asma en los niños? Los síntomas del asma en los niños incluyen: Opresión en el pecho Tos, especialmente por la noche o temprano en la mañana Problemas respiratorios , como falta de aire, respiración rápida o jadear para obtener aire Sensación de cansancio Círculos oscuros debajo de los ojos Irritabilidad Sibilancias, que producen un silbido cuando exhalan Dificultad para comer o succionar (en bebés) Estos síntomas pueden variar de leves a graves. Pueden ocurrir con frecuencia o solo de vez en cuando. Cuando los niños tienen un ataque de asma, sus síntomas empeoran mucho. Los ataques pueden aparecer de forma gradual o repentina. En ocasiones, pueden poner en peligro la vida. Los signos de advertencia de un ataque severo incluyen tos intensa, problemas respiratorios graves y palidez o un color azulado en la cara, labios y uñas. Si su hijo tiene esos síntomas, busque ayuda médica de inmediato. ¿Cómo se diagnostica el asma en los niños? Puede ser difícil diagnosticar el asma en los niños, especialmente si son pequeños. El asma tiene síntomas similares a los de otras afecciones infantiles. Además, es posible que algunos niños no presenten síntomas de asma con mucha frecuencia, por lo que puede parecer que están teniendo infecciones respiratorias. El profesional de la salud de su hijo puede usar muchas herramientas para diagnosticar el asma: Examen físico Historia clínica Radiografía de pecho Pruebas de función pulmonar incluida la espirometría, para evaluar el funcionamiento de los pulmones. Los niños más pequeños generalmente no pueden realizar estas pruebas Análisis de sangre o de piel para alergias, si tiene antecedentes de alergias. Estas pruebas verifican qué alérgenos causan una reacción del sistema inmunitario Si tiene un niño pequeño que no puede realizar pruebas de función pulmonar, el profesional de la salud puede sugerirle que pruebe medicamentos para el asma. Este tratamiento implica administrarle a su hijo medicinas durante varias semanas para ver si los síntomas mejoran. ¿Cuáles son los tratamientos para el asma en niños? Si su hijo tiene asma, su profesional de la salud trabajara en conjunto con usted para crear un plan de tratamiento. Este plan incluirá formas de controlar los síntomas y prevenir ataques de asma, como: Estrategias para evitar desencadenantes : Por ejemplo, si el humo del tabaco es un desencadenante para su hijo, no debe permitir que nadie fume en su casa o automóvil Medicamentos de alivio rápido , también llamados medicamentos de rescate: Ayudan a prevenir los síntomas o aliviarlos durante un ataque de asma. Incluyen un inhalador para que su hijo tenga en todo momento. También puede incluir otros tipos de medicamentos que actúan rápidamente para ayudar a abrir las vías respiratorias de su hijo Medicamentos de control : estos se toman todos los días para ayudar a prevenir los síntomas. Actúan reduciendo la inflamación de las vías respiratorias y previniendo el estrechamiento de las vías respiratorias. No todos los niños toman medicamentos de control. El hecho de que su hijo los necesite o no depende de la gravedad de su asma y de la frecuencia de sus síntomas Si su hijo tiene un ataque severo y los medicamentos de alivio a corto plazo no funcionan, busque ayuda médica de inmediato. El profesional de la salud de su hijo puede ajustar el tratamiento hasta que se controlen los síntomas del asma.",,"Niños y adolescentes, Pulmón y vías respiratorias, Sistema inmunitario","Instituto Nacional del Corazón, los Pulmones y la Sangre"
Aspergillosis,"Aspergillosis is a disease caused by a fungus (or mold) called Aspergillus. The fungus is very common in both indoors and outdoors. Most people breathe in the spores of the fungus every day without being affected. But some people get the disease. It usually occurs in people with lung diseases or weakened immune systems. There are different kinds of aspergillosis. One kind is allergic bronchopulmonary aspergillosis (also called ABPA). Symptoms of ABPA include wheezing and coughing. ABPA can affect healthy people but it is most common in people with asthma or cystic fibrosis. Another kind is invasive aspergillosis, which damages tissues in the body. It usually affects the lungs. Sometimes it can also cause infection in other organs and spread throughout the body. It affects people who have immune system problems, such as people who have had a transplant, are taking high doses of steroids, or getting chemotherapy for some cancers. Your doctor might do a variety of tests to make the diagnosis, including a chest x-ray, CT scan of the lungs, and an examination of tissues for signs of the fungus. Treatment is with antifungal drugs. If you have ABPA, you may also take steroids. Centers for Disease Control and Prevention",,Infections,National Institute of Allergy and Infectious Diseases
Aspergilosis,"La aspergilosis es una enfermedad causada por un hongo (o moho) llamado aspergillus. Este hongo es bastante común tanto en ambientes exteriores como interiores. La mayoría de la gente respira las esporas del hongo todos los días sin ser afectada. Pero algunas personas contraen la enfermedad. En general ocurre en personas con enfermedades pulmonares o sistemas inmunitarios debilitados. Hay diferentes tipos de aspergilosis. Uno de ellos es la aspergilosis alérgica broncopulmonar (ABPA, por sus siglas en inglés). Los síntomas de esta incluyen sibilancias y tos. La aspergilosis alérgica broncopulmonar puede afectar a personas sanas, pero es más común en personas con asma o fibrosis quística. Otro tipo es la aspergilosis invasiva, que daña los tejidos del cuerpo. Por lo general, afecta a los pulmones. A veces puede causar infección en otros órganos y extenderse por todo el cuerpo. Afecta a quienes tienen problemas con el sistema inmunitario, como las personas que han tenido un trasplante, toman altas dosis de esteroides o están recibiendo quimioterapia para algunos tipos de cáncer. Su médico puede hacer una variedad de pruebas para el diagnóstico, incluyendo una radiografía de tórax, tomografía computarizada de los pulmones o examinar los tejidos para detectar signos del hongo. El tratamiento es con medicamentos antimicóticos. Si tiene esta afección, también puede tomar esteroides. Centros para el Control y la Prevención de Enfermedades",,Infecciones,Instituto Nacional de Alergias y Enfermedades Infecciosas
Assisted Living,"Assisted living is housing and services for people who need some help with daily care. They may need help with things like dressing, bathing, taking their medicines, and cleaning. But they do not need the medical care that a nursing home provides. Assisted living allows the residents to live more independently. Assisted living facilities sometimes have other names, such as adult care facilities or residential care facilities. They vary in size, with as few as 25 residents up to 120 residents or more. The residents usually live in their own apartments or rooms and share common areas. The facilities usually offer a few different levels of care. Residents pay more for the higher levels of care. The types of services they offer may be different from state to state. The services may include: Up to three meals a day Assistance with personal care, such as bathing, dressing, eating, getting in and out of bed or chairs, moving around, and using the bathroom Help with medicines Housekeeping Laundry 24-hour supervision, security, and on-site staff Social and recreational activities Transportation The residents are usually older adults, including those with Alzheimer's or other types of dementia . But in some cases, residents may be younger and have mental illnesses , developmental disabilities , or certain medical conditions. NIH: National Institute on Aging",Residential care,"Older Adults, Health System",
Assisted Reproductive Technology,"Assisted reproductive technology (ART) is used to treat infertility . It includes fertility treatments that handle both eggs and sperm. It works by removing eggs from the ovaries. The eggs are then mixed with sperm to make embryos. The embryos are then put back in the parent's body. In vitro fertilization (IVF) is the most common and effective type of ART. ART procedures sometimes use donor eggs, donor sperm, or previously frozen embryos. It may also involve a surrogate or gestational carrier. A surrogate becomes pregnant with sperm from one partner of the couple. A gestational carrier becomes pregnant with an egg from one partner and sperm from the other partner. The most common complication of ART is a multiple pregnancy . It can be prevented or minimized by limiting the number of embryos that are put into the parent's body.","ART, IVF, In Vitro Fertilization","Female Reproductive System, Male Reproductive System",Eunice Kennedy Shriver National Institute of Child Health and Human Development
Assistive Devices,"What are assistive devices? Assistive devices are tools, products, or equipment that can help you perform tasks and activities. They may help you move around , see, communicate, eat, or get dressed. Who might benefit from assistive devices? You may use various assistive devices if you: Have a disability or injury Have certain health conditions such as dementia , or if you've had a stroke Are an older adult You might use an assistive device for a short time or long term. Others might use them throughout their lifespan. How can assistive devices help? Some assistive devices are high-tech tools, such as computers. Others are much simpler, like a ""reacher,"" a tool that helps you grab an object you can't reach. There are a variety of assistive devices or tools available that may be used to help you to: Communicate, see, or hear better Perform daily activities Move by using a wheelchair, walker, or another mobility device Cook or eat Dress or groom yourself Improve your memory or attention Be more active Participate in educational activities Assistive devices may also be used to make changes to your physical environment so it is easier to move or care for yourself. This can include adding ramps or grab bars.",Assistive technology,"Older Adults, Surgery and Rehabilitation",National Institute on Deafness and Other Communication Disorders
